day,count,hour,year,day_index
THU,420,8am,2018.0,5
FRI,473,8am,2018.0,6
SAT,330,8am,2018.0,7
SUN,797,8pm,2018.0,1
MON,817,8pm,2018.0,2
TUE,849,8pm,2018.0,3
WED,846,8pm,2018.0,4
THU,885,8pm,2018.0,5
FRI,816,8pm,2018.0,6
SAT,838,8pm,2018.0,7
SUN,341,9am,2018.0,1
MON,452,9am,2018.0,2
TUE,442,9am,2018.0,3
WED,459,9am,2018.0,4
THU,417,9am,2018.0,5
FRI,438,9am,2018.0,6
SAT,396,9am,2018.0,7
SUN,750,9pm,2018.0,1
MON,774,9pm,2018.0,2
TUE,814,9pm,2018.0,3
WED,795,9pm,2018.0,4
THU,839,9pm,2018.0,5
FRI,825,9pm,2018.0,6
SAT,787,9pm,2018.0,7
SUN,431,10am,2019.0,1
MON,566,10am,2019.0,2
TUE,541,10am,2019.0,3
WED,563,10am,2019.0,4
THU,553,10am,2019.0,5
FRI,612,10am,2019.0,6
SAT,519,10am,2019.0,7
SUN,910,10pm,2019.0,1
MON,835,10pm,2019.0,2
TUE,840,10pm,2019.0,3
WED,813,10pm,2019.0,4
THU,849,10pm,2019.0,5
FRI,944,10pm,2019.0,6
SAT,914,10pm,2019.0,7
SUN,453,11am,2019.0,1
MON,578,11am,2019.0,2
TUE,562,11am,2019.0,3
WED,518,11am,2019.0,4
THU,547,11am,2019.0,5
FRI,597,11am,2019.0,6
SAT,550,11am,2019.0,7
SUN,729,11pm,2019.0,1
MON,632,11pm,2019.0,2
TUE,686,11pm,2019.0,3
WED,670,11pm,2019.0,4
THU,706,11pm,2019.0,5
FRI,880,11pm,2019.0,6
SAT,880,11pm,2019.0,7
SUN,1145,12am,2019.0,1
MON,960,12am,2019.0,2
TUE,889,12am,2019.0,3
WED,818,12am,2019.0,4
THU,814,12am,2019.0,5
FRI,1035,12am,2019.0,6
SAT,1065,12am,2019.0,7
SUN,793,12pm,2019.0,1
MON,1066,12pm,2019.0,2
TUE,1057,12pm,2019.0,3
WED,943,12pm,2019.0,4
THU,947,12pm,2019.0,5
FRI,1047,12pm,2019.0,6
SAT,843,12pm,2019.0,7
SUN,790,1am,2019.0,1
MON,462,1am,2019.0,2
TUE,426,1am,2019.0,3
WED,442,1am,2019.0,4
THU,440,1am,2019.0,5
FRI,538,1am,2019.0,6
SAT,794,1am,2019.0,7
SUN,494,1pm,2019.0,1
MON,665,1pm,2019.0,2
TUE,662,1pm,2019.0,3
WED,630,1pm,2019.0,4
THU,619,1pm,2019.0,5
FRI,676,1pm,2019.0,6
SAT,507,1pm,2019.0,7
SUN,822,2am,2019.0,1
MON,522,2am,2019.0,2
TUE,465,2am,2019.0,3
WED,459,2am,2019.0,4
THU,477,2am,2019.0,5
FRI,632,2am,2019.0,6
SAT,723,2am,2019.0,7
SUN,583,2pm,2019.0,1
MON,689,2pm,2019.0,2
TUE,667,2pm,2019.0,3
WED,695,2pm,2019.0,4
THU,620,2pm,2019.0,5
FRI,703,2pm,2019.0,6
SAT,630,2pm,2019.0,7
SUN,554,3am,2019.0,1
MON,303,3am,2019.0,2
TUE,310,3am,2019.0,3
WED,296,3am,2019.0,4
THU,276,3am,2019.0,5
FRI,352,3am,2019.0,6
SAT,479,3am,2019.0,7
SUN,626,3pm,2019.0,1
MON,732,3pm,2019.0,2
TUE,697,3pm,2019.0,3
WED,705,3pm,2019.0,4
THU,696,3pm,2019.0,5
FRI,782,3pm,2019.0,6
SAT,738,3pm,2019.0,7
SUN,372,4am,2019.0,1
MON,242,4am,2019.0,2
TUE,220,4am,2019.0,3
WED,189,4am,2019.0,4
THU,255,4am,2019.0,5
FRI,257,4am,2019.0,6
SAT,308,4am,2019.0,7
SUN,696,4pm,2019.0,1
MON,755,4pm,2019.0,2
TUE,688,4pm,2019.0,3
WED,787,4pm,2019.0,4
THU,738,4pm,2019.0,5
FRI,821,4pm,2019.0,6
SAT,688,4pm,2019.0,7
SUN,257,5am,2019.0,1
MON,178,5am,2019.0,2
TUE,200,5am,2019.0,3
WED,174,5am,2019.0,4
THU,196,5am,2019.0,5
FRI,183,5am,2019.0,6
SAT,212,5am,2019.0,7
SUN,766,5pm,2019.0,1
MON,913,5pm,2019.0,2
TUE,841,5pm,2019.0,3
WED,863,5pm,2019.0,4
THU,811,5pm,2019.0,5
FRI,964,5pm,2019.0,6
SAT,798,5pm,2019.0,7
SUN,208,6am,2019.0,1
MON,225,6am,2019.0,2
TUE,204,6am,2019.0,3
WED,234,6am,2019.0,4
THU,215,6am,2019.0,5
FRI,206,6am,2019.0,6
SAT,194,6am,2019.0,7
SUN,903,6pm,2019.0,1
MON,940,6pm,2019.0,2
TUE,934,6pm,2019.0,3
WED,858,6pm,2019.0,4
THU,912,6pm,2019.0,5
FRI,1101,6pm,2019.0,6
SAT,864,6pm,2019.0,7
SUN,227,7am,2019.0,1
MON,371,7am,2019.0,2
TUE,297,7am,2019.0,3
WED,338,7am,2019.0,4
THU,306,7am,2019.0,5
FRI,314,7am,2019.0,6
SAT,251,7am,2019.0,7
SUN,800,7pm,2019.0,1
MON,841,7pm,2019.0,2
TUE,858,7pm,2019.0,3
WED,843,7pm,2019.0,4
THU,830,7pm,2019.0,5
FRI,852,7pm,2019.0,6
SAT,812,7pm,2019.0,7
SUN,355,8am,2019.0,1
MON,501,8am,2019.0,2
TUE,467,8am,2019.0,3
WED,434,8am,2019.0,4
THU,424,8am,2019.0,5
FRI,467,8am,2019.0,6
SAT,370,8am,2019.0,7
SUN,820,8pm,2019.0,1
MON,834,8pm,2019.0,2
TUE,899,8pm,2019.0,3
WED,856,8pm,2019.0,4
THU,837,8pm,2019.0,5
FRI,958,8pm,2019.0,6
SAT,821,8pm,2019.0,7
SUN,406,9am,2019.0,1
MON,473,9am,2019.0,2
TUE,480,9am,2019.0,3
WED,421,9am,2019.0,4
THU,464,9am,2019.0,5
FRI,455,9am,2019.0,6
SAT,446,9am,2019.0,7
SUN,863,9pm,2019.0,1
MON,803,9pm,2019.0,2
TUE,857,9pm,2019.0,3
WED,820,9pm,2019.0,4
THU,831,9pm,2019.0,5
FRI,837,9pm,2019.0,6
SAT,855,9pm,2019.0,7
SUN,411,10am,2020.0,1
MON,498,10am,2020.0,2
TUE,529,10am,2020.0,3
WED,487,10am,2020.0,4
THU,515,10am,2020.0,5
FRI,552,10am,2020.0,6
SAT,514,10am,2020.0,7
SUN,754,10pm,2020.0,1
MON,715,10pm,2020.0,2
TUE,780,10pm,2020.0,3
WED,755,10pm,2020.0,4
THU,849,10pm,2020.0,5
FRI,847,10pm,2020.0,6
SAT,853,10pm,2020.0,7
SUN,459,11am,2020.0,1
MON,523,11am,2020.0,2
TUE,553,11am,2020.0,3
WED,537,11am,2020.0,4
THU,542,11am,2020.0,5
FRI,516,11am,2020.0,6
SAT,449,11am,2020.0,7
SUN,669,11pm,2020.0,1
MON,662,11pm,2020.0,2
TUE,613,11pm,2020.0,3
WED,648,11pm,2020.0,4
THU,714,11pm,2020.0,5
FRI,694,11pm,2020.0,6
SAT,769,11pm,2020.0,7
SUN,956,12am,2020.0,1
MON,864,12am,2020.0,2
TUE,839,12am,2020.0,3
WED,907,12am,2020.0,4
THU,843,12am,2020.0,5
FRI,912,12am,2020.0,6
SAT,958,12am,2020.0,7
SUN,919,12pm,2020.0,1
MON,1209,12pm,2020.0,2
TUE,1109,12pm,2020.0,3
WED,1190,12pm,2020.0,4
THU,1091,12pm,2020.0,5
FRI,1076,12pm,2020.0,6
SAT,936,12pm,2020.0,7
SUN,668,1am,2020.0,1
MON,448,1am,2020.0,2
TUE,423,1am,2020.0,3
WED,463,1am,2020.0,4
THU,442,1am,2020.0,5
FRI,478,1am,2020.0,6
SAT,603,1am,2020.0,7
SUN,515,1pm,2020.0,1
MON,609,1pm,2020.0,2
TUE,654,1pm,2020.0,3
WED,640,1pm,2020.0,4
THU,594,1pm,2020.0,5
FRI,581,1pm,2020.0,6
SAT,504,1pm,2020.0,7
SUN,654,2am,2020.0,1
MON,456,2am,2020.0,2
TUE,374,2am,2020.0,3
WED,436,2am,2020.0,4
THU,444,2am,2020.0,5
FRI,464,2am,2020.0,6
SAT,604,2am,2020.0,7
SUN,590,2pm,2020.0,1
MON,646,2pm,2020.0,2
TUE,687,2pm,2020.0,3
WED,697,2pm,2020.0,4
THU,608,2pm,2020.0,5
FRI,669,2pm,2020.0,6
SAT,617,2pm,2020.0,7
SUN,481,3am,2020.0,1
MON,331,3am,2020.0,2
TUE,266,3am,2020.0,3
WED,324,3am,2020.0,4
THU,284,3am,2020.0,5
FRI,386,3am,2020.0,6
SAT,415,3am,2020.0,7
SUN,588,3pm,2020.0,1
MON,713,3pm,2020.0,2
TUE,693,3pm,2020.0,3
WED,689,3pm,2020.0,4
THU,696,3pm,2020.0,5
FRI,749,3pm,2020.0,6
SAT,688,3pm,2020.0,7
SUN,348,4am,2020.0,1
MON,255,4am,2020.0,2
TUE,240,4am,2020.0,3
WED,235,4am,2020.0,4
THU,255,4am,2020.0,5
FRI,239,4am,2020.0,6
SAT,296,4am,2020.0,7
SUN,591,4pm,2020.0,1
MON,694,4pm,2020.0,2
TUE,725,4pm,2020.0,3
WED,689,4pm,2020.0,4
THU,737,4pm,2020.0,5
FRI,752,4pm,2020.0,6
SAT,664,4pm,2020.0,7
SUN,249,5am,2020.0,1
MON,224,5am,2020.0,2
TUE,207,5am,2020.0,3
WED,228,5am,2020.0,4
THU,219,5am,2020.0,5
FRI,218,5am,2020.0,6
SAT,212,5am,2020.0,7
SUN,692,5pm,2020.0,1
MON,784,5pm,2020.0,2
TUE,775,5pm,2020.0,3
WED,806,5pm,2020.0,4
THU,719,5pm,2020.0,5
FRI,781,5pm,2020.0,6
SAT,748,5pm,2020.0,7
SUN,213,6am,2020.0,1
MON,257,6am,2020.0,2
TUE,242,6am,2020.0,3
WED,272,6am,2020.0,4
THU,218,6am,2020.0,5
FRI,218,6am,2020.0,6
SAT,173,6am,2020.0,7
SUN,851,6pm,2020.0,1
MON,793,6pm,2020.0,2
TUE,826,6pm,2020.0,3
WED,882,6pm,2020.0,4
THU,937,6pm,2020.0,5
FRI,1035,6pm,2020.0,6
SAT,765,6pm,2020.0,7
SUN,231,7am,2020.0,1
MON,323,7am,2020.0,2
TUE,268,7am,2020.0,3
WED,293,7am,2020.0,4
THU,285,7am,2020.0,5
FRI,316,7am,2020.0,6
SAT,213,7am,2020.0,7
SUN,767,7pm,2020.0,1
MON,761,7pm,2020.0,2
TUE,782,7pm,2020.0,3
WED,739,7pm,2020.0,4
THU,779,7pm,2020.0,5
FRI,797,7pm,2020.0,6
SAT,716,7pm,2020.0,7
SUN,348,8am,2020.0,1
MON,483,8am,2020.0,2
TUE,449,8am,2020.0,3
WED,500,8am,2020.0,4
THU,470,8am,2020.0,5
FRI,496,8am,2020.0,6
SAT,409,8am,2020.0,7
SUN,757,8pm,2020.0,1
MON,836,8pm,2020.0,2
TUE,790,8pm,2020.0,3
WED,806,8pm,2020.0,4
THU,839,8pm,2020.0,5
FRI,871,8pm,2020.0,6
SAT,729,8pm,2020.0,7
SUN,343,9am,2020.0,1
MON,491,9am,2020.0,2
TUE,450,9am,2020.0,3
WED,468,9am,2020.0,4
THU,434,9am,2020.0,5
FRI,456,9am,2020.0,6
SAT,373,9am,2020.0,7
SUN,761,9pm,2020.0,1
MON,755,9pm,2020.0,2
TUE,757,9pm,2020.0,3
WED,756,9pm,2020.0,4
THU,701,9pm,2020.0,5
FRI,730,9pm,2020.0,6
SAT,701,9pm,2020.0,7
